Sample,X(ms) [09.03.2026 23:20:33 132 UTC],"Pallet sensor (front)[%I2.2]","Pallet Loading sensor[%I2.0]","MEDSM_Load Sensor[%I2.1]","Pallet Belt +[%Q5.2]"
118,1773098440739.132500,0,0,0,0
119,1773098440803.600500,0,0,0,0
120,1773098440868.835400,0,0,0,0
121,1773098440934.778100,0,0,0,0
122,1773098440999.870700,0,0,0,0
123,1773098441062.599100,0,0,0,0
124,1773098441125.689300,0,0,0,0
125,1773098441190.670600,0,0,0,0
126,1773098441254.818400,0,0,0,0
127,1773098441319.360700,1,1,1,0
128,1773098441386.094900,1,1,1,0
129,1773098441448.333100,1,1,1,0
130,1773098441515.350800,1,1,1,0
131,1773098441576.810600,0,0,0,0
132,1773098441641.514500,0,0,0,0
133,1773098441706.122800,0,0,0,0
134,1773098441770.730800,0,0,0,0
135,1773098441835.204100,0,0,0,0
136,1773098441899.182200,0,0,0,0
137,1773098441964.759600,0,0,0,0
138,1773098442027.553900,0,0,0,0
139,1773098442092.375500,0,0,0,0
140,1773098442157.010200,0,0,0,0
141,1773098442221.157200,0,0,0,0
142,1773098442285.237100,0,0,0,0
143,1773098442349.954500,1,1,1,0
144,1773098442414.539400,1,1,1,0
145,1773098442478.578300,1,1,1,0
146,1773098442542.685200,0,0,0,0
147,1773098442607.955500,0,0,0,0
148,1773098442672.943700,0,0,0,0
149,1773098442736.986500,0,0,0,0
150,1773098442801.145700,0,0,0,0
151,1773098442865.203300,0,0,0,0
152,1773098442929.358500,0,0,0,0
153,1773098442993.881500,0,0,0,0
154,1773098443059.823000,0,0,0,0
155,1773098443122.742200,0,0,0,0
156,1773098443188.144500,0,0,0,0
157,1773098443255.093100,0,0,0,0
158,1773098443316.799700,0,0,0,0
159,1773098443381.284100,0,0,0,0
160,1773098443445.296100,1,1,1,0
161,1773098443509.639600,1,1,1,0
162,1773098443574.533000,1,1,1,0
163,1773098443638.919800,0,0,0,0
164,1773098443704.991500,0,0,0,0
165,1773098443768.570300,0,0,0,0
166,1773098443832.860000,0,0,0,0
167,1773098443896.450600,0,0,0,0
168,1773098443960.928700,0,0,0,0
169,1773098444025.630200,0,0,0,0
170,1773098444090.867500,0,0,0,0
171,1773098444155.024200,0,0,0,0
172,1773098444222.179000,0,0,0,0
173,1773098444283.944200,0,0,0,0
174,1773098444348.135600,0,0,0,0
175,1773098444412.284900,0,0,0,0
176,1773098444476.868100,0,0,0,0
177,1773098444542.031300,1,0,1,0
178,1773098444608.612200,1,0,1,0
179,1773098444672.758500,1,0,1,0
180,1773098444735.171700,0,0,0,0
181,1773098444799.756600,0,0,0,0
182,1773098444863.639700,0,0,0,0
183,1773098444927.984900,0,0,0,0
184,1773098444992.947300,0,0,0,0
185,1773098445057.571300,0,0,0,0
186,1773098445125.348500,0,0,0,0
187,1773098445186.085000,0,0,0,0
188,1773098445250.686000,0,0,0,0
189,1773098445314.707800,0,0,0,0
190,1773098445379.269800,0,0,0,0
191,1773098445443.527600,0,0,0,0
192,1773098445511.303100,0,0,0,0
193,1773098445577.494400,0,0,0,0
194,1773098445637.399600,1,0,1,0
195,1773098445702.820900,1,0,1,0
196,1773098445765.906500,0,0,0,0
197,1773098445830.179400,0,0,0,0
198,1773098445894.682400,0,0,0,0
199,1773098445959.748900,0,0,0,0
200,1773098446023.642700,0,0,0,0
201,1773098446088.066500,0,0,0,0
202,1773098446154.192600,0,0,0,0
203,1773098446216.601100,0,0,0,0
204,1773098446281.480100,0,0,0,0
205,1773098446345.997400,0,0,0,0
206,1773098446410.349900,0,0,0,0
207,1773098446474.818100,0,0,0,0
208,1773098446540.024600,0,0,0,0
209,1773098446607.001100,0,0,0,0
210,1773098446669.200400,0,0,0,0
211,1773098446732.438000,0,0,0,0
212,1773098446797.037700,1,0,1,0
213,1773098446861.388700,1,0,1,0
214,1773098446925.999900,1,0,1,0
215,1773098446992.871200,1,0,1,0
216,1773098447055.195600,0,0,0,0
217,1773098447119.559900,0,0,0,0
218,1773098447184.964300,0,0,0,0
219,1773098447247.855500,0,0,0,0
220,1773098447312.497900,0,0,0,0
221,1773098447377.649800,0,0,0,0
222,1773098447442.281600,0,0,0,0
223,1773098447509.643700,0,0,0,0
224,1773098447571.706800,0,0,0,0
225,1773098447635.431600,0,0,0,0
226,1773098447700.034700,0,0,0,0
227,1773098447764.529800,0,0,0,0
228,1773098447829.712800,0,0,0,0
229,1773098447894.018000,0,0,0,0
230,1773098447960.004600,0,0,0,0
231,1773098448022.377300,0,0,0,0
232,1773098448087.235400,0,0,0,0
233,1773098448151.564500,0,0,0,0
234,1773098448215.654100,0,0,0,0
235,1773098448280.384300,1,1,1,0
236,1773098448347.908200,1,1,1,0
237,1773098448409.219700,0,0,0,0
238,1773098448474.819700,0,0,0,0
239,1773098448538.053600,0,0,0,0
240,1773098448602.805800,0,0,0,0
241,1773098448666.544300,0,0,0,0
242,1773098448731.322000,0,0,0,0
243,1773098448798.212900,0,0,0,0
244,1773098448860.145000,0,0,0,0
245,1773098448924.682300,0,0,0,0
246,1773098448989.079700,0,0,0,0
247,1773098449053.875000,0,0,0,0
248,1773098449118.901600,0,0,0,0
249,1773098449182.955400,0,0,0,0
250,1773098449251.277200,0,0,0,0
251,1773098449311.586500,0,0,0,0
252,1773098449376.339700,0,0,0,0
253,1773098449441.185900,0,0,0,0
254,1773098449505.645000,1,1,1,0
255,1773098449570.174400,1,1,1,0
256,1773098449634.408300,1,1,1,0
257,1773098449698.858400,0,0,0,0
258,1773098449763.339800,0,0,0,0
259,1773098449830.272800,0,0,0,0
260,1773098449892.502200,0,0,0,0
261,1773098449956.867800,0,0,0,0
262,1773098450021.356500,0,0,0,0
263,1773098450086.752900,0,0,0,0
264,1773098450150.468200,0,0,0,0
265,1773098450214.988000,0,0,0,0
266,1773098450281.462900,0,0,0,0
267,1773098450343.807700,0,0,0,0
268,1773098450408.286900,0,0,0,0
269,1773098450475.324600,0,0,0,0
270,1773098450538.568600,0,0,0,0
271,1773098450602.976700,0,0,0,0
272,1773098450666.656000,0,0,0,0
273,1773098450731.524300,0,0,0,0
274,1773098450795.554500,0,0,0,0
275,1773098450863.207800,0,0,0,0
276,1773098450924.294000,0,0,0,0
277,1773098450988.807300,1,1,1,0
278,1773098451053.474800,1,1,1,0
279,1773098451119.601700,1,1,1,0
280,1773098451186.777400,1,1,1,0
281,1773098451249.848000,0,0,0,0
282,1773098451312.014400,0,0,0,0
283,1773098451377.656200,0,0,0,0
284,1773098451440.570000,0,0,0,0
285,1773098451504.712300,0,0,0,0
286,1773098451569.264200,0,0,0,0
287,1773098451634.375800,0,0,0,0
288,1773098451702.091400,0,0,0,0
289,1773098451763.450600,0,0,0,0
290,1773098451828.666600,0,0,0,0
291,1773098451892.067800,0,0,0,0
292,1773098451956.694800,1,1,1,0
293,1773098452021.726200,1,1,1,0
294,1773098452086.333200,1,1,1,0
295,1773098452150.372100,0,0,0,0
296,1773098452216.317700,0,0,0,0
297,1773098452279.450600,0,0,0,0
298,1773098452343.680100,0,0,0,0
299,1773098452408.115300,0,0,0,0
300,1773098452472.436200,0,0,0,0
301,1773098452536.809300,0,0,0,0
302,1773098452603.085900,0,0,0,0
303,1773098452666.556600,0,0,0,0
304,1773098452732.601500,0,0,0,0
305,1773098452796.135500,0,0,0,0
306,1773098452859.474700,0,0,0,0
307,1773098452923.569000,0,0,0,0
308,1773098452988.555500,0,0,0,0
309,1773098453052.830100,0,0,0,0
310,1773098453117.530200,0,0,0,0
311,1773098453181.576600,0,0,0,0
312,1773098453246.269000,0,0,0,0
313,1773098453310.589700,1,1,1,0
314,1773098453379.345900,1,1,1,0
315,1773098453440.176300,0,0,0,0
316,1773098453504.575900,0,0,0,0
317,1773098453568.679800,0,0,0,0
318,1773098453633.489200,0,0,0,0
319,1773098453698.016200,0,0,0,0
320,1773098453762.233100,0,0,0,0
321,1773098453828.561800,0,0,0,0
322,1773098453891.618500,0,0,0,0
323,1773098453956.127200,0,0,0,0
324,1773098454020.106700,0,0,0,0
325,1773098454083.943500,0,0,0,0
326,1773098454148.654000,0,0,0,0
327,1773098454215.482000,0,0,0,0
328,1773098454278.162800,0,0,0,0
329,1773098454342.829100,0,0,0,0
330,1773098454406.820300,1,1,1,0
331,1773098454470.992100,1,1,1,0
332,1773098454534.743900,0,0,0,0
333,1773098454600.782500,0,0,0,0
334,1773098454664.465400,0,0,0,0
335,1773098454728.811500,0,0,0,0
336,1773098454793.201800,0,0,0,0
337,1773098454862.080400,0,0,0,0
338,1773098454922.316900,0,0,0,0
339,1773098454986.685600,0,0,0,0
340,1773098455050.835200,0,0,0,0
341,1773098455115.543800,0,0,0,0
342,1773098455181.125100,0,0,0,0
343,1773098455244.825500,0,0,0,0
344,1773098455309.461500,0,0,0,0
345,1773098455374.579100,0,0,0,0
