Sample,X(ms) [09.03.2026 23:32:18 281 UTC],"SP X_2[%QD48]","SP Y_2[%QD52]","SP Z_2[%QD56]","SP X_1[%QD36]","SP Y_1[%QD40]","SP Z_1[%QD44]","Box Weight[%ID32]"
138,1773099147174.713900,0,0,0,0,0,0,0
139,1773099147238.983800,0,0,0,0,0,0,0
140,1773099147302.193500,0,0,0,0,0,0,0
141,1773099147364.437200,0,0,0,0,0,0,0
142,1773099147428.298000,0,0,0,0,0,0,0
143,1773099147490.397300,0,0,0,0,0,0,3.10048222541809
144,1773099147553.645700,0,0,0,0,0,0,0
145,1773099147619.307600,0,0,0,0,0,0,0
146,1773099147680.802700,0,0,0,0,0,0,0
147,1773099147743.780000,0,0,0,0,0,0,0
148,1773099147807.194200,0,0,0,0,0,0,0
149,1773099147870.094800,0,0,0,0,0,0,0
150,1773099147933.810200,0,0,0,0,0,0,0
151,1773099147996.916100,0,0,0,0,0,0,0
152,1773099148062.650700,0,0,0,0,0,0,0
153,1773099148124.368400,0,0,0,0,0,0,0
154,1773099148188.716200,0,0,0,0,0,0,4.98828411102295
155,1773099148250.203600,0,0,0,0,0,0,0
156,1773099148313.590600,0,0,0,0,0,0,0
157,1773099148376.710600,0,0,0,0,0,0,0
158,1773099148441.418500,0,0,0,0,0,0,0
159,1773099148503.726800,0,0,0,0,0,0,0
160,1773099148566.741900,0,0,0,0,0,0,0
161,1773099148629.878800,0,0,0,0,0,0,0
162,1773099148693.306700,0,0,0,0,0,0,0
163,1773099148757.543900,0,0,0,0,0,0,0
164,1773099148820.815600,0,0,0,0,0,0,0
165,1773099148884.036100,0,0,0,0,0,0,4.99931192398071
166,1773099148948.327200,0,0,0,0,0,0,0
167,1773099149011.015000,0,0,0,0,0,0,0
168,1773099149074.718000,0,0,0,0,0,0,0
169,1773099149137.241200,0,0,0,0,0,0,0
170,1773099149200.522400,0,0,0,0,0,0,0
171,1773099149265.323100,0,0,0,0,0,0,0
172,1773099149327.916800,0,0,0,0,0,0,0
173,1773099149390.955500,0,0,0,0,0,0,0
174,1773099149456.319700,0,0,0,0,0,0,4.99999237060547
175,1773099149516.202500,0,0,0,0,0,0,4.99995279312134
176,1773099149579.566000,0,0,0,0,0,0,0
177,1773099149643.581200,0,0,0,0,0,0,0
178,1773099149706.955500,0,0,0,0,0,0,0
179,1773099149769.645600,0,0,0,0,0,0,0
180,1773099149833.331300,0,0,0,0,0,0,0
181,1773099149896.970300,0,0,0,0,0,0,0
182,1773099149960.731000,0,0,0,0,0,0,0
183,1773099150023.089300,0,0,0,0,0,0,0
184,1773099150086.566300,0,0,0,0,0,0,0
185,1773099150150.265300,0,0,0,0,0,0,5.00045013427734
186,1773099150213.074500,0,0,0,0,0,0,0
187,1773099150276.704400,0,0,0,0,0,0,0
188,1773099150339.854400,0,0,0,0,0,0,0
189,1773099150404.579900,0,0,0,0,0,0,0
190,1773099150466.473000,0,0,0,0,0,0,0
191,1773099150531.400700,0,0,0,0,0,0,0
192,1773099150593.271700,0,0,0,0,0,0,0
193,1773099150656.806300,0,0,0,0,0,0,0
194,1773099150719.449800,0,0,0,0,0,0,0
195,1773099150782.917100,0,0,0,0,0,0,0
196,1773099150846.582700,0,0,0,0,0,0,0
197,1773099150909.954400,0,0,0,0,0,0,5.00026702880859
